# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
29570.5000 M707 949974 1 8706.5000 B20 B19 154 N B20->B19
29574.5000 M819 926163 3 5363.5000 P3 S26 210 N P3->S25->B17->S26
29693.2000 M974 641245 1 969.2000 S25 P3 283 N S25->P3
29799.5000 M843 890659 2 4899.5000 B23 P13 218 N B23->B21->P13
29837.5000 M900 856304 2 3245.5000 P2 B21 245 N P2->S28->B21
30006.4000 M936 650185 1 2375.4000 P13 S28 260 N P13->S28
30210.5000 M973 884644 1 1513.5000 S29 P1 274 N S29->P1
30211.8000 M1021 766465 1 113.8000 B19 P14 298 N B19->P14
30424.6000 M842 592120 1 5549.6000 B24 S31 207 N B24->S31
30464.1000 M680 635999 2 10393.1000 B19 S25 126 N B19->B16->S25
30471.5000 M896 817539 4 3994.5000 S31 P8 233 N S31->S34->P9->P7->P8
30498.0000 M783 703310 1 7332.0000 B20 S25 177 N B20->S25
30563.6000 M813 709839 6 6527.6000 P12 P2 191 N P12->S38->B23->P3->S37->P6->P2
30646.4000 M821 592170 1 6378.4000 B20 P4 193 N B20->P4
30657.6000 M827 527357 3 6222.6000 B17 P11 196 N B17->S33->B23->P11
30719.4000 M977 997709 3 1912.4000 S30 P7 268 N S30->P0->P14->P7
30722.7000 M746 805405 4 8692.7000 B18 P14 155 N B18->S35->P9->P7->P14
30788.4000 M979 753709 1 1921.4000 P5 B21 267 N P5->B21
30984.5000 M925 734552 1 3651.5000 B17 S27 239 N B17->S27
31132.0000 M1018 657289 1 1127.0000 B15 B23 281 N B15->B23
31173.1000 M992 748312 2 1931.1000 B24 P11 267 N B24->B19->P11
31354.1000 M1034 754395 2 869.1000 S31 P4 285 N S31->S36->P4
31389.4000 M814 740368 3 7320.4000 S28 B16 177 N S28->S35->P13->B16
31420.0000 M1024 695051 3 1228.0000 S31 B20 279 N S31->S36->P4->B20
31469.0000 M910 599647 5 4576.0000 S32 P8 223 N S32->P5->S32->B18->S36->P8
31525.3000 M895 541666 1 5079.3000 P2 P14 215 N P2->P14
31548.6000 M907 566773 2 4752.6000 S33 S30 220 N S33->B23->S30
31673.2000 M762 920792 2 9149.2000 P14 P12 147 N P14->B22->P12
31677.1000 M851 967079 1 6537.1000 B22 P12 191 N B22->P12
31688.3000 M961 634946 3 3333.3000 P10 B16 244 N P10->S39->S30->B16
31953.9000 M968 634926 3 3393.9000 P3 S29 243 N P3->P10->S39->S29
32088.7000 M982 632443 3 3132.7000 P13 P6 247 N P13->P8->P1->P6
32149.6000 M818 739917 3 7963.6000 S32 P4 167 N S32->S37->B15->P4
